,STRUCTURE_NUMBER_008,Rating_2011,Rating_2012,Rating_2013,Rating_2014,Rating_2015,Rating_2016,Rating_2017,Rating_2018,Rating_2019,Rating_2020
74,10100,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
75,10101,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
76,10102,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
77,10103,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
78,10104,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
79,10105,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0
80,10106,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
81,10107,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
82,10940,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
83,14007,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
84,14008,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
85,14009,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
86,14010,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
90,14026,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
91,14027,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
92,14029,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
93,14030,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
94,14031,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
95,14032,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
99,14036,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
100,14037,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
101,14038,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
102,14039,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
103,14040,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
104,14041,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
105,14042,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
106,14043,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
107,14044,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
108,14045,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
