MaterialTypes,Load_UnloadTimeperUnit,UnitSize,OrderQuant
DeckCargo,10,1,"Random.Discrete(5,0.32,7,0.75,32,0.843,68,0.92,57,0.98,9,1 )"
Casing,13,1,"Random.Discrete(9,0.34,20,0.74,12,1)"
DryBulk,60,2500,"Random.Discrete(1600,0.01,1700,0.0244444444444444,1800,0.0577777777777778,1900,0.108888888888889,2000,0.16,2100,0.211111111111111,2200,0.303333333333333,2300,0.398888888888889,2400,0.48,2500,0.578888888888889,2600,0.654444444444444,2700,0.741111111111111,2800,0.797777777777778,2900,0.853333333333333,3000,0.888888888888889,3100,0.933333333333333,3200,0.963333333333333,3300,0.986666666666667,3400,0.998888888888889,3500,1)"
Fuel,60,2000,"Random.Discrete(1000,0.00136425648021828,1100,0.00272851296043656,1200,0.0109140518417462,1300,0.0231923601637108,1400,0.034106412005457,1500,0.0518417462482947,1600,0.0709413369713506,1700,0.0927694406548431,1800,0.11869031377899,1900,0.167803547066849,2000,0.21418826739427,2100,0.257844474761255,2200,0.306957708049113,2300,0.358799454297408,2400,0.412005457025921,2500,0.469304229195089,2600,0.510231923601637,2700,0.551159618008186,2800,0.589358799454297,2900,0.609822646657572,3000,0.6193724420191,3100,0.628922237380628,3200,0.630286493860846,5700,0.633015006821282,5800,0.634379263301501,5900,0.638472032742155,6000,0.639836289222374,6100,0.643929058663029,6200,0.649386084583902,6300,0.65075034106412,6400,0.656207366984993,6500,0.664392905866303,6600,0.668485675306958,6700,0.678035470668486,6800,0.688949522510232,6900,0.695770804911323,7000,0.703956343792633,7100,0.712141882673943,7200,0.723055934515689,7300,0.727148703956344,7400,0.739427012278308,7500,0.744884038199181,7600,0.754433833560709,7700,0.77762619372442,7800,0.795361527967258,7900,0.818553888130969,8000,0.829467939972715,8100,0.847203274215553,8200,0.860845839017735,8300,0.870395634379263,8400,0.885402455661664,8500,0.90450204638472,8600,0.92087312414734,8700,0.937244201909959,8800,0.946793997271487,8900,0.953615279672578,9000,0.96043656207367,9100,0.967257844474761,9200,0.972714870395634,9300,0.978171896316507,9400,0.984993178717599,9500,0.993178717598909,9600,0.998635743519782,9800,1)"
LiquidBulk,60,3000,"Random.Discrete(1000,0.00453514739229025,1100,0.0328798185941043,1200,0.0770975056689342,1300,0.131519274376417,1400,0.18140589569161,1500,0.22108843537415,1600,0.263038548752834,1700,0.301587301587302,1800,0.344671201814059,1900,0.386621315192744,2000,0.431972789115646,2100,0.46031746031746,2200,0.49546485260771,2300,0.535147392290249,2400,0.578231292517007,2500,0.616780045351474,2600,0.645124716553288,2700,0.672335600907029,2800,0.702947845804989,2900,0.72562358276644,3000,0.757369614512472,3100,0.784580498866213,3200,0.806122448979592,3300,0.829931972789116,3400,0.852607709750567,3500,0.878684807256236,3600,0.901360544217687,3700,0.921768707482993,3800,0.934240362811791,3900,0.943310657596372,4000,0.952380952380952,4100,0.964852607709751,4200,0.971655328798186,4300,0.978458049886621,4400,0.985260770975057,4500,0.988662131519274,4600,0.990929705215419,4700,0.992063492063492,4800,0.997732426303855,4900,1)"
Pipe,15,1,"Random.Discrete(5,0.237,18,0.585,40,0.631,12,0.900,50,0.95,60,1)"
